permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
PP,Plumbing Permit,2025-011728 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1000 ELM ST,Interior Remodel. Remodel of existing noncomplying 1-story single family residence to include kitchen and bathrooms. Restoration of existing windows repair existing deck and covered porch new stairs and handrail/guardrail at front and rear of single family residence to meet code. Repair metal roof and siding. Reconfigure interior layout.,0110020210,LOT 20 BLK 5 OLT 4 DIV Z SHELLEY HEIGHTS 2,2024-11-21T00:00:00.000,2025-11-04T00:00:00.000,TUESDAY,2025,2026,No,Permit Center,Final,2026-05-06T00:00:00.000,2026-05-06T00:00:00.000,2026-05-06T00:00:00.000,1749,1,1,1000 ELM ST,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13462268'},13462268,30.27845971,-97.75885049,"{'latitude': '30.27845971', 'longitude': '-97.75885049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13462255,3430,0,,
PP,Plumbing Permit,2025-141656 PP,Residential,Residential,Repair,No,8600 MILLWAY DR,Tunnel up to 60 to expose and replace all easily accessible cast iron sewer pipe under home. We will also be trenching up to 50 to expose and replace main building sewer line. Tunnel access will be located at the front right side of home near existing homeowner cleanouts.,0244050701,LOT 1 BLK J ALLANDALE ESTATES SEC 1,2025-11-03T00:00:00.000,2025-11-14T00:00:00.000,FRIDAY,2025,2026,No,Permit Center,Final,2026-01-30T00:00:00.000,2026-01-30T00:00:00.000,2026-01-30T00:00:00.000,1316,1,1,8600 MILLWAY DR,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609501'},13609501,30.37119992,-97.7361475,"{'latitude': '30.37119992', 'longitude': '-97.7361475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,,,,,
BP,Building Permit,2025-138623 BP,Residential,R- 439 Addition Mobile Home,Addition and Remodel,No,12500 DESCANSO CIR,"connect mobile home and add deck 4x4 and 8x8

**Community house/mobile home (double-wide) including construction of front and rear decks and installation of a front ADA-compliant access ramp.**",0331410407,88.636A OF LOT 1 BLK A DEERWOOD,2025-10-27T00:00:00.000,2025-11-05T00:00:00.000,WEDNESDAY,2025,2026,No,Permit Center,Final,2025-12-19T00:00:00.000,2025-12-19T00:00:00.000,2025-12-19T00:00:00.000,,1,2,12500 DESCANSO CIR,AUSTIN,TX,78617,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13606072'},13606072,30.1716823,-97.62520637,"{'latitude': '30.1716823', 'longitude': '-97.62520637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,,,1200,,
MP,Mechanical Permit,2025-092974 MP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1516 DARTMOUTH AVE,*Partial Demo* Accessibility ramp addition/interior remodel to single-story SFR Amnesty CO for garage enclosure,0236091423,LOT 13 BLK 2 CRESTVIEW ADDN SEC 9,2025-05-19T00:00:00.000,2025-10-10T00:00:00.000,FRIDAY,2025,2026,No,Permit Center,Final,2026-01-09T00:00:00.000,2026-01-09T00:00:00.000,2026-01-09T00:00:00.000,319,1,1,1516 DARTMOUTH AVE,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555405'},13555405,30.34931918,-97.72468291,"{'latitude': '30.34931918', 'longitude': '-97.72468291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13555400,1421,110,,
PP,Plumbing Permit,2025-071962 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4204 BOWSTRING CV,interior remodel - interior remodel of a bathroom and closet to make them accessible. no change to exterior walls.,0101230914,LOT 15 BLK P VILLAGE PARK 4 AT TRAVIS COUNTRY,2025-06-02T00:00:00.000,2025-09-29T00:00:00.000,MONDAY,2025,2025,No,Permit Center,Final,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,595,1,1,4204 BOWSTRING CV,AUSTIN,TX,78735,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13531638'},13531638,30.2534522,-97.83193793,"{'latitude': '30.2534522', 'longitude': '-97.83193793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13531632,0,0,,
MP,Mechanical Permit,2025-121606 MP,Residential,Residential,Change Out,,1652 CHIPPEWAY LN,Replacement of complete existing central heat and air system with or without duct work 2 ton vertical gas system changeout with accessible ductwork changeout like for like,0417160915,LOT 36 BLK L COOPER OAKS SEC 2-A,2025-09-24T00:00:00.000,2025-10-07T00:00:00.000,TUESDAY,2025,2026,No,Permit Center,Final,2025-10-23T00:00:00.000,2025-10-23T00:00:00.000,2025-10-23T00:00:00.000,,,,1652 CHIPPEWAY LN,AUSTIN,TX,78745,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13587273'},13587273,30.20359012,-97.79992521,"{'latitude': '30.20359012', 'longitude': '-97.79992521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
MP,Mechanical Permit,2025-126169 MP,Residential,Residential,Change Out,,5007 BUCKSKIN PASS,Replacement of complete existing central heat and air system with or without duct work 4 ton vertical GAS HVAC system changeout with accessible duct system replacement like for like,0412110424,LOT 3 BLK A WESTERN TRAILS ESTATES,2025-10-02T00:00:00.000,2025-10-07T00:00:00.000,TUESDAY,2025,2026,No,Permit Center,Expired,2026-04-06T00:00:00.000,2026-04-05T00:00:00.000,,,,,5007 BUCKSKIN PASS,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13592266'},13592266,30.22235882,-97.7956547,"{'latitude': '30.22235882', 'longitude': '-97.7956547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
EP,Electrical Permit,2025-071962 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4204 BOWSTRING CV,interior remodel - interior remodel of a bathroom and closet to make them accessible. no change to exterior walls.,0101230914,LOT 15 BLK P VILLAGE PARK 4 AT TRAVIS COUNTRY,2025-06-02T00:00:00.000,2025-10-02T00:00:00.000,THURSDAY,2025,2026,No,Permit Center,Final,2026-03-04T00:00:00.000,2026-03-04T00:00:00.000,2026-03-04T00:00:00.000,595,1,1,4204 BOWSTRING CV,AUSTIN,TX,78735,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13531637'},13531637,30.2534522,-97.83193793,"{'latitude': '30.2534522', 'longitude': '-97.83193793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,11500,,,13531632,100,0,,
BP,Building Permit,2025-119607 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1711 MARGARET ST,"Interior Remodel

Raised/support corner of the porch roof that had sagged Install front steps handrails remove the balusters and bottom rails on both sides of the porch to facilitate removal of corner column remove the corner columns plinth/base and molding repair bottom of column fabricated and position a new plinth/base lower the repaired column onto the new plinth install new porch baluster request retroactive approval of replacement of water damaged lumber on front stairs",0102050604,W 65 FT OF LOT 20-25 BLK F BARTON HEIGHTS,2024-10-02T00:00:00.000,2025-10-02T00:00:00.000,THURSDAY,2025,2026,No,Permit Center,Final,2026-02-24T00:00:00.000,2026-02-24T00:00:00.000,2026-02-24T00:00:00.000,51,2,1,1711 MARGARET ST,AUSTIN,TX,78704,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13585077'},13585077,30.25700815,-97.76739986,"{'latitude': '30.25700815', 'longitude': '-97.76739986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,1,1,1,0,0,0,13409586,,0,0,
EP,Electrical Permit,2025-078632 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4902 AVENUE G,Interior remodel - Remodeling of kitchen by removing wall at front and enclosing current entrance to kitchen remove and replace all cabinets relocate sink and move range; widening of door to front bedroom to create opening mirroring dining room opening; widen door going into laundry/mud room; remodel both bathrooms with new showers and fixtures add can lights per plans; refinish all current hardwood floors add hardwood to newer section sheetrock repairs and paint interior,0223090111,LOT 4 & N 15FT OF LT3&S 20 LOT 5 BLK 54 HIGHLANDS THE LOT 2 BLK 3 & E 15 OF HEGMAN SUBD,2025-06-12T00:00:00.000,2025-07-31T00:00:00.000,THURSDAY,2025,2025,No,Permit Center,Final,2026-05-27T00:00:00.000,2026-05-27T00:00:00.000,2026-05-27T00:00:00.000,1000,1,1,4902 AVENUE G,AUSTIN,TX,78751,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13539130'},13539130,30.31324385,-97.72311579,"{'latitude': '30.31324385', 'longitude': '-97.72311579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,6000,,,13539127,1000,0,,
BP,Building Permit,2025-103790 BP,Residential,R- 435 Renovations/Remodel,Repair,No,4710 RAMSEY AVE,Express: Handicap ramp,0225030909,LOT 6 BLK 32 ROSEDALE H,2025-08-15T00:00:00.000,2025-08-15T00:00:00.000,FRIDAY,2025,2025,No,Permit Center,Final,2025-09-05T00:00:00.000,2025-09-05T00:00:00.000,2025-09-05T00:00:00.000,1,1,1,4710 RAMSEY AVE,AUSTIN,TX,78756,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13567554'},13567554,30.31969851,-97.74139506,"{'latitude': '30.31969851', 'longitude': '-97.74139506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13567551,,,,
EP,Electrical Permit,2025-092974 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1516 DARTMOUTH AVE,*Partial Demo* Accessibility ramp addition/interior remodel to single-story SFR Amnesty CO for garage enclosure,0236091423,LOT 13 BLK 2 CRESTVIEW ADDN SEC 9,2025-05-19T00:00:00.000,2025-08-18T00:00:00.000,MONDAY,2025,2025,No,Permit Center,Final,2026-01-05T00:00:00.000,2026-01-05T00:00:00.000,2026-01-05T00:00:00.000,319,1,1,1516 DARTMOUTH AVE,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555404'},13555404,30.34931918,-97.72468291,"{'latitude': '30.34931918', 'longitude': '-97.72468291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,1000,,,13555400,1421,110,,
BP,Building Permit,2025-108056 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1808 ULIT AVE,express - wheelchair ramp construction,0212120111,LOT 13 BLK 6 OLT 31 DIV B ULIT H SECOND ADDN,2025-08-26T00:00:00.000,2025-08-26T00:00:00.000,TUESDAY,2025,2025,No,Permit Center,Final,2025-11-25T00:00:00.000,2025-11-25T00:00:00.000,2025-11-25T00:00:00.000,1,1,1,1808 ULIT AVE,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13572297'},13572297,30.28066417,-97.71251882,"{'latitude': '30.28066417', 'longitude': '-97.71251882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13572290,,,,
PP,Plumbing Permit,2025-092974 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1516 DARTMOUTH AVE,*Partial Demo* Accessibility ramp addition/interior remodel to single-story SFR Amnesty CO for garage enclosure,0236091423,LOT 13 BLK 2 CRESTVIEW ADDN SEC 9,2025-05-19T00:00:00.000,2025-08-18T00:00:00.000,MONDAY,2025,2025,No,Permit Center,Final,2026-01-09T00:00:00.000,2026-01-09T00:00:00.000,2026-01-09T00:00:00.000,319,1,1,1516 DARTMOUTH AVE,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555406'},13555406,30.34931918,-97.72468291,"{'latitude': '30.34931918', 'longitude': '-97.72468291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13555400,1421,110,,
BP,Building Permit,2025-108357 BP,Residential,R- 101 Single Family Houses,New,No,9104 BOATHOUSE DR,New SFR with 3 bedrooms 2 1/2 bathrooms attached car garage covered entry porch and patio with ramp,0338131409,PROSPECT PARK PHS 1 BLK F LOT 2,2025-07-25T00:00:00.000,2025-08-27T00:00:00.000,WEDNESDAY,2025,2025,No,Permit Center,Final,2026-01-22T00:00:00.000,2026-01-22T00:00:00.000,2026-01-22T00:00:00.000,,1,1,9104 BOATHOUSE DR,AUSTIN,TX,78744,2,AUSTIN LTD,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13572629'},13572629,30.14585888,-97.70916116,"{'latitude': '30.14585888', 'longitude': '-97.70916116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,0,,,,,13556049,,3034,6000,
BP,Building Permit,2025-107043 BP,Residential,R- 435 Renovations/Remodel,Repair,No,3701 GARDEN VILLA LN,EXPRESS: Handicap Ramp,0407070624,LOT 1 * RESUB OF PT OF LOT 6 BLK 5 * & LOT 10 BLK 4 FREEWATER ADDN,2025-08-22T00:00:00.000,2025-08-25T00:00:00.000,MONDAY,2025,2025,No,Permit Center,Final,2025-12-05T00:00:00.000,2025-12-05T00:00:00.000,2025-12-05T00:00:00.000,1,1,1,3701 GARDEN VILLA LN,AUSTIN,TX,78704,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13571202'},13571202,30.2315013,-97.77246425,"{'latitude': '30.2315013', 'longitude': '-97.77246425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13571197,,,,
BP,Building Permit,2025-071962 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4204 BOWSTRING CV,interior remodel - interior remodel of a bathroom and closet to make them accessible. no change to exterior walls.,0101230914,LOT 15 BLK P VILLAGE PARK 4 AT TRAVIS COUNTRY,2025-06-02T00:00:00.000,2025-08-14T00:00:00.000,THURSDAY,2025,2025,No,Permit Center,Final,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,595,1,1,4204 BOWSTRING CV,AUSTIN,TX,78735,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13531632'},13531632,30.2534522,-97.83193793,"{'latitude': '30.2534522', 'longitude': '-97.83193793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,0,1,0,0,0,0,13527100,,0,0,
EP,Electrical Permit,2025-011728 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1000 ELM ST,"Interior Remodel. Remodel of existing noncomplying 1-story single family residence to include kitchen and bathrooms. Restoration of existing windows repair existing deck and covered porch new stairs and handrail/guardrail at front and rear of single family residence to meet code. Repair metal roof and siding. Reconfigure interior layout.

11/14/25 SM - Revised Existing second floor loft area also being updated with electrical and HVAC.
RELATED TO EP 2025 011729",0110020210,LOT 20 BLK 5 OLT 4 DIV Z SHELLEY HEIGHTS 2,2024-11-21T00:00:00.000,2025-07-31T00:00:00.000,THURSDAY,2025,2025,No,Permit Center,Final,2026-05-06T00:00:00.000,2026-05-06T00:00:00.000,2026-05-06T00:00:00.000,1749,1,1,1000 ELM ST,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13462266'},13462266,30.27845971,-97.75885049,"{'latitude': '30.27845971', 'longitude': '-97.75885049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,1,,,13462255,3430,0,,
BP,Building Permit,2025-092974 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1516 DARTMOUTH AVE,*Partial Demo* Accessibility ramp addition/interior remodel to single-story SFR Amnesty CO for garage enclosure,0236091423,LOT 13 BLK 2 CRESTVIEW ADDN SEC 9,2025-05-19T00:00:00.000,2025-08-14T00:00:00.000,THURSDAY,2025,2025,No,Permit Center,Final,2026-01-09T00:00:00.000,2026-01-09T00:00:00.000,2026-01-09T00:00:00.000,319,1,1,1516 DARTMOUTH AVE,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555400'},13555400,30.34931918,-97.72468291,"{'latitude': '30.34931918', 'longitude': '-97.72468291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,4,1,1,1,1,1,13520183,,110,8121,
BP,Building Permit,2025-083559 BP,Residential,R- 435 Renovations/Remodel,Repair,No,906 VALDEZ ST,express - see attached (ramp),0306180504,LOT 32 BLK 3 CHERNOSKY NO 16,2025-07-07T00:00:00.000,2025-07-07T00:00:00.000,MONDAY,2025,2025,No,Permit Center,Final,2025-07-23T00:00:00.000,2025-07-23T00:00:00.000,2025-07-23T00:00:00.000,1,1,1,906 VALDEZ ST,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13544687'},13544687,30.23304094,-97.69345747,"{'latitude': '30.23304094', 'longitude': '-97.69345747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13544686,,,,
